,avg,avgTrades,dateRange,evaluationScore,evaluationScoreOnSecondary,id,max,maxsize,min,sharpe,size,std
0,-30.843136468044907,335.6666666666667,2016-06-13 01:29:35 to 2016-09-11 01:29:35,,,0,-0.6876657302611164,30,-58.3286804103873,-1.018730266353598,30,12.038794509051534
1,-11.279506869942873,395.0,,,,1,-0.6876657302611164,30,-46.86654543503119,-1.0787552073170759,24,13.58705516301696
2,-3.1746597386182374,444.0,,,,2,-0.6876657302611164,30,-11.402855076244194,-1.0624944795153495,24,3.6181353338354345
3,-6.469427383194938,285.1666666666667,,,,3,-0.6876657302611164,30,-27.95545362911851,-1.0306521298733262,31,8.665612503655883
4,-9.34561477070439,325.8,,,,4,-0.6876657302611164,30,-41.626898819664405,-1.0520272209409693,35,12.35373453215536
5,-2.6193773506942297,450.6666666666667,,,,5,-0.6876657302611164,30,-11.402855076244194,-1.0616905535108672,30,3.341781183192062
6,-3.2737521563710708,464.6666666666667,,,,6,-0.6876657302611164,30,-19.17456212593558,-1.0734760046061456,35,4.637612071602015
7,-5.9581574434099505,348.75,,,,7,-0.6876657302611164,30,-39.711655281255965,-1.0809094590069641,39,10.826927334838308
8,-6.362856444958147,384.72727272727275,,,,8,-0.6876657302611164,30,-44.29132299380127,-1.085772479186694,43,11.721610961540382
9,-4.2546581644221515,416.57142857142856,,,,9,-0.6876657302611164,30,-40.517302363956254,-1.0804302901096086,35,8.887481752270231
10,-7.0782629777500485,396.8888888888889,,,,10,-0.6876657302611164,30,-47.17304695218713,-1.0757411414254785,40,14.196980574309832
11,-4.163582670104727,362.75,,,,11,-0.6876657302611164,30,-52.32186751038265,-1.0746863311800285,38,9.633914104539066
12,-6.506199625900193,325.25,,,,12,-0.6876657302611164,30,-42.54756491168128,-1.0266166120759164,35,12.875551417306891
13,-6.554908760969732,371.5,,,,13,-0.6876657302611164,30,-46.906545455595136,-1.0633379193534367,36,12.277024028063293
14,-3.578034031848356,304.6666666666667,,,,14,-0.6876657302611164,30,-28.19044032588259,-1.0433477966148386,33,7.375933623090744
15,-3.998180321276814,432.3333333333333,,,,15,-0.6876657302611164,30,-41.968375935738244,-1.0804700102702427,40,8.910805775815861
16,-5.20040232365708,322.0,,,,16,-0.6876657302611164,30,-37.41326130062994,-1.0496489365963817,37,11.218830121004778
17,-6.331151004845844,419.6,,,,17,-0.6876657302611164,30,-54.075661493732426,-1.0897236571483238,39,12.315564331374617
18,-3.320718088271003,348.0,,,,18,-0.6876657302611164,30,-37.39173090102273,-1.0453162522934318,30,7.796072659364579
19,-2.0972492492456154,333.0,,,,19,-0.6876657302611164,30,-22.06649336288973,-1.0578686785465645,30,4.5627303154072925
20,-7.554065056835161,317.6666666666667,,,,20,-0.6876657302611164,30,-47.58001258340353,-1.0478422224340465,36,13.095784856925475
21,-3.964433263734389,332.3333333333333,,,,21,-0.6876657302611164,30,-24.44267356662037,-1.0586592154138335,33,6.5268588136990555
22,-5.731074337142051,331.5,,,,22,-0.6876657302611164,30,-36.233414223502535,-1.0615387659343052,39,9.306682424676758
23,-2.8211064601909657,336.5,,,,23,-0.6876657302611164,30,-35.0146403243773,-1.0414751379388376,34,6.83205673192627
24,-4.761867181271784,394.2857142857143,,,,24,-0.6876657302611164,30,-42.35540796586857,-1.0653308877356642,35,9.752081291422174
25,-1.348607880227874,451.0,,,,25,-0.6876657302611164,30,-12.73909567608331,-1.0708455241139212,33,2.3463410679034915
26,-1.0433294703810463,450.0,,,,26,-0.6876657302611164,30,-9.439588087644438,-1.069511218320586,35,1.5581813221888123
27,-6.209996797516554,313.44444444444446,,,,27,-0.6876657302611164,30,-43.74282602321079,-1.0429589605754228,41,11.921179621893131
28,-5.0532995014983175,367.7142857142857,,,,28,-0.6876657302611164,30,-45.09679442331943,-1.0564467202284353,39,10.872896654382322
29,-4.922970305569001,319.0,,,,29,-0.6876657302611164,30,-33.98438168851969,-1.045656123849936,39,9.723501857303054
30,-4.7358609622496415,335.3333333333333,,,,30,-0.6876657302611164,30,-45.18071613839382,-1.0613212459690964,37,9.703835154930577
31,-6.260110469850761,332.3333333333333,,,,31,-0.6876657302611164,30,-41.845645518845465,-1.0594446418278858,40,11.379044697071162
32,-3.35071234148569,315.2,,,,32,-0.6876657302611164,30,-38.31209119386795,-1.0418951965433243,36,8.438585550952316
33,-6.290956965641103,310.5833333333333,,,,33,-0.6876657302611164,30,-42.19894763310064,-1.0383684088127532,42,11.759092739335639
34,-1.3764182735690702,409.0,,,,34,-0.6876657302611164,30,-23.416499659423593,-1.0725734713502724,33,3.8961727514602837
35,-6.486433259543392,356.22222222222223,,,,35,-0.6876657302611164,30,-57.80670019840659,-1.0632685989738677,41,13.11069149849526
36,-3.5819010051257747,334.3333333333333,,,,36,-0.6876657302611164,30,-31.46091466904504,-1.0511269191312436,37,7.93088849734519
37,-3.340686187100788,323.2,,,,37,-0.6876657302611164,30,-40.31732959599377,-1.0401752302397103,36,8.64964607426914
38,-1.2135426945912184,499.0,,,,38,-0.6876657302611164,30,-18.041605553154483,-1.0757344578685277,33,2.97480934038089
39,-4.011768796294879,373.3333333333333,,,,39,-0.6876657302611164,30,-38.41138647553893,-1.07857393386507,39,9.253044931319096
40,-1.7124457518533545,401.5,,,,40,-0.6876657302611164,30,-22.06649336288973,-1.0574307568856331,31,3.9551335271362404
41,-3.8145679619318305,315.6666666666667,,,,41,-0.6876657302611164,30,-30.667246782135877,-1.05403219868135,34,7.82910211630055
42,-3.662762116958341,430.8333333333333,,,,42,-0.6876657302611164,30,-36.70096237381229,-1.083517859630492,37,7.823422367928629
43,-2.694683202215752,367.2,,,,43,-0.6876657302611164,30,-30.667246782135877,-1.0571029106827385,34,6.076785209105951
44,-2.2461452706434772,383.3333333333333,,,,44,-0.6876657302611164,30,-46.88309184262066,-1.0594873102174076,34,7.811205757246781
45,-3.078614195864603,354.5,,,,45,-0.6876657302611164,30,-40.31732959599377,-1.0538542823170935,34,8.421632718611072
46,-5.152833982036724,353.0,,,,46,-0.6876657302611164,30,-39.38500789792101,-1.0524733039416838,33,11.344238594286248
47,-6.844740612861225,353.8,,,,47,-0.6876657302611164,30,-50.36228801693798,-1.0586640862740249,37,11.981392023157321
48,-4.323435664119353,299.25,,,,48,-0.6876657302611164,30,-36.07386608264426,-1.0607191486264895,32,7.938093326528636
49,-4.810145160605879,262.75,,,,49,-0.6876657302611164,30,-41.35634294526569,-1.043852613644324,33,9.438878635523402
50,-5.6118867444680856,369.0,,,,50,-0.6876657302611164,30,-45.587169546453374,-1.071473583379509,39,10.468777156401815
51,-0.9450752113606259,444.0,,,,51,-0.6876657302611164,30,-9.439588087644438,-1.067988852089413,34,1.4787048899889785
52,-6.0548816409753226,350.22222222222223,,,,52,-0.6876657302611164,30,-34.672408025604994,-1.0632114240388046,36,10.973597206272196
53,-4.304180493043847,294.3333333333333,,,,53,-0.6876657302611164,30,-35.074023736581395,-1.031980542653785,35,9.199420686390559
54,-6.118586932936813,357.1111111111111,,,,54,-0.6876657302611164,30,-42.33266288308472,-1.065843403006976,40,11.70118298159147
55,-1.9584754587973396,386.5,,,,55,-0.6876657302611164,30,-30.667246782135877,-1.060747658058611,31,5.374957222793342
56,-0.9913921990594442,444.0,,,,56,-0.6876657302611164,30,-6.526245258451667,-1.070291632670198,31,1.1916886237303939
57,-9.623968174932179,355.45454545454544,,,,57,-0.6876657302611164,30,-53.85409804440344,-1.0625474545913154,40,15.816190558721196
58,-1.2070053485206194,450.0,,,,58,-0.6876657302611164,30,-8.41035260007655,-1.0750969438096405,33,1.7199617706834274
59,-6.808186120546748,321.45454545454544,,,,59,-0.6876657302611164,30,-50.17408645551727,-1.0256858259070962,35,12.039798870312456
60,-2.960917800271927,385.5,,,,60,-0.6876657302611164,30,-30.667246782135877,-1.0614309634971415,33,6.289431236795839
61,-3.397388737895019,282.0,,,,61,-0.6876657302611164,30,-30.667246782135877,-1.0428681685231849,32,6.935889940554615
62,-5.138440805794123,323.85714285714283,,,,62,-0.6876657302611164,30,-39.64299431922611,-1.0594316002638637,37,10.03826197565704
63,-2.251037065725361,392.0,,,,63,-0.6876657302611164,30,-30.667246782135877,-1.0547482892143587,31,5.4322767331763
