,avg,avgTrades,dateRange,evaluationScore,evaluationScoreOnSecondary,id,max,maxsize,min,sharpe,size,std
0,-19.335755451774848,222.03333333333333,2016-06-29 07:19:11 to 2016-09-27 07:19:11,,,0,-4.720803744180174,30,-36.96657317820412,-1.1845345686951818,30,7.5245002647179735
1,-15.931368146250028,218.15384615384616,,,,1,-4.502532217252281,30,-42.1715944568352,-1.0478263547778832,23,9.618873333881814
2,-12.202275676834873,67.0,,,,2,-10.27237007614417,24,-17.98595332963224,-0.8946621899246691,17,2.1986170243715
3,-13.025142555505932,145.45833333333334,,,,3,-4.720803744180174,90,-30.219882046904672,-0.9830823462334011,43,5.466604816252372
4,-13.561760147126705,171.8,,,,4,-4.720803744180174,15,-38.42140401306891,-0.9565206616615303,20,8.410373322234495
5,-13.843607514390508,199.63636363636363,,,,5,-4.720803744180174,15,-37.10919050808913,-1.1016024424940394,21,8.029103430010624
6,-15.6795161670779,215.58823529411765,,,,6,-8.334861223544024,15,-47.115811212795364,-1.236620546072884,27,8.840037362565331
7,-12.993097809993516,187.3684210526316,,,,7,-4.720803744180174,61,-28.191840499461748,-1.2681350227625707,38,6.43019554379736
8,-12.611512338369177,177.93333333333334,,,,8,-7.564733731157389,15,-28.191840499461748,-1.3959354912630269,21,6.029666940114453
9,-11.643473255149127,162.4375,,,,9,-7.124802796342408,51,-28.191840499461748,-1.383879364903593,31,5.320311748746724
10,-9.511231471576384,0.0,,-1550.3994187338774,2765.426027219124,10,-7.124802796342408,39,-14.41764000406475,-1.2956562070851159,19,2.0170536307165525
11,-12.008818854318134,205.63636363636363,,,,11,-7.124802796342408,39,-33.21820501875898,-1.4149757326786434,31,6.943902240121653
12,-13.618355503685024,208.1578947368421,,,,12,-4.720803744180174,39,-47.97895225300747,-1.336232860403499,41,9.1000560688682
13,-10.012329814863014,174.66666666666666,,,,13,-7.124802796342408,15,-25.753085867684604,-1.2577511105481742,17,5.743802193619726
14,-12.286376330052514,158.0625,,,,14,-5.026059108190239,45,-36.609615125038445,-1.179780634687324,25,8.355012388590922
15,-14.133180238960186,195.6,,,,15,-5.026059108190239,15,-35.75847897467341,-1.277967167922858,22,9.433100954278782
16,-10.330761693000245,198.16666666666666,,,,16,-5.026059108190239,15,-25.753085867684604,-1.1751378909809722,15,6.466526372158687
17,-12.926993874887975,204.63636363636363,,,,17,-4.561140003312161,15,-29.552179298359874,-1.2127101827869644,20,8.308061280042358
18,-13.279778940718177,180.8,,,,18,-5.026059108190239,15,-38.22398032838367,-1.2728370234879223,25,9.565874397930825
19,-10.647327964154442,161.77777777777777,,,,19,-4.720803744180174,21,-28.191840499461748,-1.1732777287342724,21,6.880677397509983
20,-6.563578557027429,0.0,,-2744.046690801105,4521.204335651908,20,-5.026059108190239,16,-12.658897684709274,-1.2927200423607217,10,2.6148534053385886
