,avg,avgTrades,dateRange,evaluationScore,evaluationScoreOnSecondary,id,max,maxsize,min,sharpe,size,std
41,-22.385123066556485,221.46428571428572,,,,41,-1.5329276354123778,90,-102.21678390030233,-1.8481867749499383,39,31.55475327720765
42,-13.954094014069446,187.6153846153846,,,,42,-0.060351357466515765,15,-91.50803338574741,-1.170124542717443,26,26.301451504308858
43,-14.42757919601715,185.85714285714286,,,,43,-1.5329276354123778,15,-77.03416492912206,-1.3389847688767162,15,24.967632375602463
44,-16.00752690928068,282.9375,,,,44,-0.060351357466515765,90,-99.91677928947905,-1.4096581948926517,36,30.50456257074593
45,-8.752561029038597,99.25,,,,45,-1.2571577710695152,15,-77.03416492912206,-0.8603936675362872,17,18.104709831856646
46,-16.10947019214618,220.38888888888889,,,,46,-1.5329276354123778,90,-86.86599025760604,-1.4767975362074002,39,26.419434020560118
47,-11.550131620788383,250.36363636363637,,,,47,-1.5329276354123778,90,-86.86599025760604,-1.1529276053363315,42,23.06408215641285
48,-16.213662399018006,409.1666666666667,,,,48,-0.060351357466515765,90,-104.5722949745207,-1.4199504491708608,65,28.839068472415356
49,-20.74468844137095,234.30769230769232,,,,49,-2.047402867476052,15,-98.69635345916447,-1.6283902338556686,23,28.506247384603228
50,-2.6416959002081457,0.0,,-1430.6896660596294,-1288.8252259693609,50,-2.047402867476052,90,-7.894804622301194,-0.5063346934437878,22,1.5584022532863626
51,-12.97486721171391,223.1578947368421,,,,51,-1.5329276354123778,90,-86.86599025760604,-1.1373510940493938,57,23.830029535834953
52,-12.346834218234333,240.0,,,,52,-2.047402867476052,15,-77.03416492912206,-1.2426842872107149,17,22.752354685641233
53,-17.185446040141382,237.86666666666667,,,,53,-0.7963784650361703,34,-104.9329314472,-1.484025515077836,29,28.51248920171658
54,-21.870727904706666,270.3,,,,54,-1.2571577710695152,15,-85.50129699013254,-1.7579268652167879,19,30.690806825100235
55,-14.58156549104774,240.69230769230768,,,,55,-2.047402867476052,47,-94.38705569639524,-1.286611366011094,35,25.620245506593772
56,-9.890954250821306,131.375,,,,56,-1.5329276354123778,90,-77.03416492912206,-0.9705557357288066,46,17.5635543364404
57,-30.641280457331177,294.5882352941176,,,,57,-1.5329276354123778,15,-102.83131364682421,-2.244714675793776,23,33.52002184411852
58,-34.412478559259796,352.1333333333333,,,,58,-1.5329276354123778,15,-102.99776532585601,-2.6077177842521695,21,35.97664522843314
59,-18.57453088409643,292.3333333333333,,,,59,-0.060351357466515765,15,-88.99274754102296,-1.538457439732791,14,29.69291286614557
60,-1.9784128563847374,0.0,,-940.6712626111364,-853.6682539053645,60,-1.8358849998588482,15,-2.203574227031723,-0.5269463944638948,10,0.1248008455608316
61,-8.384603218413442,137.0,,,,61,-1.8358849998588482,90,-97.95773370134128,-0.926150656452584,35,19.83140526716922
62,-10.890544807493237,242.28571428571428,,,,62,-1.5329276354123778,90,-97.95773370134128,-1.0359778452730881,52,22.827651357527163
63,-9.704537785749421,215.375,,,,63,-1.8358849998588482,35,-77.03416492912206,-1.037263058172999,33,19.823079526279717
64,-17.219164892641487,338.84615384615387,,,,64,-1.5329276354123778,60,-97.95773370134128,-1.5257575997924453,34,30.762291719596313
65,-13.103092930045037,368.125,,,,65,-1.8358849998588482,24,-106.10549923049949,-1.2625349840991889,31,26.40531967762544
66,-10.201569357956968,201.16666666666666,,,,66,-1.8358849998588482,41,-77.03416492912206,-1.0535817760249226,24,19.066505202501105
67,-12.142398786185524,170.72727272727272,,,,67,-1.5329276354123778,41,-77.12783006212658,-1.2034568621163704,27,22.439925009641172
68,-17.506771628643417,232.625,,,,68,-1.8358849998588482,16,-78.20719687728524,-1.5231840533765444,18,26.002480719122048
69,-21.515676270607273,325.0833333333333,,,,69,-1.5329276354123778,28,-100.01106265475447,-1.7622332874561473,24,33.251580107893254
70,-2.0613880244440304,0.0,,-1103.2970055622088,-853.6682539053645,70,-1.8358849998588482,15,-4.992927344051395,-0.47824994416601646,14,0.8130627179140901
71,-29.956181747898736,382.44444444444446,,,,71,-1.5329276354123778,26,-97.95773370134128,-2.4123116145180594,16,34.74589337157167
72,-17.124921163976502,243.0,,,,72,-1.8358849998588482,15,-77.03416492912206,-1.5727351176835747,11,28.012083853076597
73,-20.841636784130316,251.5,,,,73,-1.3860189653884873,26,-102.0279149228635,-1.6210661513851885,17,29.84514780995229
74,-27.434738621287813,264.2142857142857,,,,74,-0.7963784650361703,15,-91.20217425491197,-1.91490209172008,20,33.67133790403685
75,-6.499507672614132,49.0,,,,75,-1.8358849998588482,15,-23.575477191538994,-0.6138291560532103,10,8.588904990426743
76,-20.52432156530749,318.45,,,,76,-0.9448307530951894,86,-106.10549923049949,-1.646294416055272,42,31.61617140864909
77,-6.727676114746273,91.5,,,,77,-0.060351357466515765,15,-77.03416492912206,-0.7628435581762322,21,16.94827825459315
78,-15.740829803583583,216.75,,,,78,-1.8358849998588482,15,-77.03416492912206,-1.389745479292615,20,23.99821431718523
79,-17.936377073759772,371.1875,,,,79,-1.8358849998588482,90,-100.43106807054038,-1.5001860463601486,44,31.54488877985309
80,-2.425421591692026,0.0,,-1172.0872054437687,-853.6682539053645,80,-1.8358849998588482,90,-8.186985118812714,-0.5159613720900936,44,1.7109014922039116
81,-11.584753304084707,263.77777777777777,,,,81,-1.5329276354123778,90,-97.95773370134128,-1.099224146360025,64,24.35982338977169
82,-6.70316206516374,131.1,,,,82,-1.5329276354123778,37,-77.03416492912206,-0.7805971493218448,42,15.046404313629546
83,-11.750580255462122,226.1818181818182,,,,83,-1.5329276354123778,37,-78.0262530487667,-1.0873635448414458,39,22.02795323492389
84,-9.006956302130266,109.64285714285714,,,,84,-0.060351357466515765,37,-71.13073562941634,-0.8991665297147647,41,16.058314204817755
85,-26.558059795376504,300.5,,,,85,-1.8358849998588482,15,-103.7772659379227,-2.00536379265209,22,31.892535370259772
86,-16.094336987568266,311.4117647058824,,,,86,-1.5329276354123778,90,-106.10549923049949,-1.3775090310945945,43,29.533286987172417
87,-8.917045044650317,158.66666666666666,,,,87,-1.5329276354123778,37,-77.03416492912206,-0.9302408873660638,39,15.84976938255156
88,-14.66315241777239,174.58823529411765,,,,88,-0.060351357466515765,37,-83.8147549319543,-1.23533278396605,38,22.21964574469061
89,-14.067000398474182,150.0,,,,89,-0.060351357466515765,15,-77.03416492912206,-1.1976995272135473,17,21.969745198908825
90,-1.8358849998588482,0.0,,-1319.996189229452,-853.6682539053645,90,-1.8358849998588482,15,-1.8358849998588482,-0.48153384922541104,4,0.0
91,-26.406164500423458,371.1111111111111,,,,91,-1.8358849998588482,90,-106.10549923049949,-2.1068362577420765,30,37.5654609182072
92,-11.093669192849182,318.22222222222223,,,,92,-1.8358849998588482,90,-97.95773370134128,-1.046462966950455,42,23.364480162982723
93,-16.942900938759188,325.2857142857143,,,,93,-1.8358849998588482,90,-106.10549923049949,-1.3944239110556473,55,29.14720832111673
94,-7.9673874460753975,331.5,,,,94,-1.8358849998588482,90,-97.95773370134128,-0.8433607492225548,55,20.253668317416768
95,-6.756654716402491,120.9090909090909,,,,95,-0.9448307530951894,90,-77.03416492912206,-0.7581768691718827,55,13.226145481204934
96,-21.741707216178337,307.1111111111111,,,,96,-0.7963784650361703,15,-78.20719687728524,-1.924986129894343,19,30.539779570446044
97,-18.96140086240427,341.5,,,,97,-1.8358849998588482,15,-99.36239078574188,-1.6562064569094024,20,30.089648542410025
98,-12.524041456766238,199.35714285714286,,,,98,-0.7963784650361703,84,-105.19336228197709,-1.1657181954617728,29,25.60525347305501
99,-24.551986808145,298.46153846153845,,,,99,-0.7963784650361703,15,-83.56999579458397,-1.7745466634483282,25,30.492312460037354
100,-1.8687976360908845,0.0,,-1105.6966157871366,-1005.5256267211789,100,-1.8358849998588482,15,-1.9839918629030109,-0.4208776896831718,9,0.06157390423790085
