,avg,avgTrades,dateRange,evaluationScore,evaluationScoreOnSecondary,id,max,maxsize,min,sharpe,size,std
0,-158.25207876886216,46.833333333333336,2017-10-07 10:33:11 to 2018-01-05 10:33:11,,,0,-6.73278950498252,30,-287.0078589172197,-0.4462558722032533,30,70.85926131187345
1,-92.52101017428832,13.846153846153847,,,,1,-6.73278950498252,30,-232.83807281729833,-0.20573698769166707,18,92.12741859092388
2,-40.78690912807277,12.375,,,,2,-6.73278950498252,30,-206.9807615475744,0.6307804259475387,20,62.16755756562456
3,-28.453888345293,15.166666666666666,,,,3,-6.73278950498252,30,-174.0533883016764,0.7885641825931985,25,50.2400412074354
4,-49.09819754816964,23.6,,,,4,-3.2731808531599995,30,-236.71231276129515,-0.1426902120441498,30,79.57110385299339
5,-5.744329890176085,8.0,,,,5,-3.2731808531599995,15,-6.73278950498252,0.9955010926887101,14,1.5628918789405146
6,-11.408746078023658,11.5,,,,6,-3.2731808531599995,15,-134.84800748403046,0.9376630738720259,20,28.36891485464089
7,-27.999502859930264,16.666666666666668,,,,7,-3.2731808531599995,15,-230.61023437408747,0.5273220091070057,19,69.13938560806058
8,-59.85671227434652,123.0,,,,8,-3.2731808531599995,15,-314.0125745637122,0.572699032854947,26,87.58165647586758
9,-11.013847925268132,10.0,,,,9,-3.2731808531599995,15,-134.84800748403046,0.909765893586751,18,30.059062544718824
10,-39.220024474765154,55.2,,,,10,-3.2731808531599995,15,-265.60881528143665,0.4273735760461353,19,76.03628232661812
11,-11.875716637838549,8.666666666666666,,,,11,-3.2731808531599995,15,-134.84800748403046,0.876397919815817,18,30.29613172508989
12,-3.2731808531599995,8.0,,,,12,-3.2731808531599995,15,-3.2731808531599995,0.996376546575202,19,0.0
13,-71.33274045746532,79.55555555555556,,,,13,-3.2731808531599995,15,-284.29681828546495,0.33629193347687075,23,97.88302054326499
14,-40.61278099078846,32.142857142857146,,,,14,-3.2731808531599995,15,-218.59435721501887,0.7903496313344683,23,71.97363796408548
15,-12.044835961884697,11.5,,,,15,-3.2731808531599995,15,-134.84800748403046,0.9188272975689536,15,32.82052813179315
16,-4.93538210268453,5.5,,,,16,-3.2731808531599995,15,-26.54399834650343,0.925206793248402,14,5.993151835301009
17,-35.992896166773136,16.125,,,,17,2.5935450744289597,15,-231.84852182987447,0.042636229324063475,22,72.76635830556441
18,-37.788800068531586,16.285714285714285,,,,18,-3.2731808531599995,15,-232.89510501664984,0.34899030746980975,24,71.24034984513366
19,-13.747313251415608,8.571428571428571,,,,19,-3.2731808531599995,15,-134.84800748403046,0.9004294383484303,23,29.01300406292297
20,-50.437621042183416,10.727272727272727,,,,20,-3.2731808531599995,15,-207.1721474464003,0.6651840586182106,23,72.92068031437884
21,-40.42023931463502,19.0,,,,21,1.5135911656059875,15,-235.10224075795463,0.626809807952042,21,74.68794158670529
22,-11.07792130137755,8.333333333333334,,,,22,1.5135911656059875,15,-134.84800748403046,0.8836112933139842,18,30.573912251458815
23,-48.36650977729002,11.4,,,,23,1.5135911656059875,15,-234.5583229671313,0.6026631968500215,22,79.49326615608042
24,-7.031648715025916,8.833333333333334,,,,24,11.079644528398319,15,-134.84800748403046,0.9305915680264502,21,28.788718356007507
25,-8.256320327722376,7.615384615384615,,,,25,11.593173261081517,90,-134.84800748403046,0.624619775556917,39,33.22019872986007
